artist_name,spotify_artist_id,sample_genre,song_count,lastfm_top_tags,refined_bucket,refined_confidence,refined_reason,manual_bucket,notes
Josh Garrels,16QSVsPKl743hu4U5C18R8,alternative,61,singer-songwriter | folk | indie | christian | Mellow | acoustic | alternative | indie folk,christian,medium,christian tag plus sample genre,,
Kendall Payne,4Jtky6POq1VIc0pP6D3Xmx,pop,4,singer-songwriter | female vocalists | pop | christian | indie rock | indie | rock | alternative,christian,medium,christian tag plus sample genre,,
Lecrae,1CFCsEqKrCyvAFKOATQHiW,rap,10,Christian Rap | Hip-Hop | christian | rap | Holy Hip-Hop | christian hip-hop | hip hop | Lecrae,christian,medium,christian tag plus sample genre,,
Lost and Found,05J878zBgV2z5DQUrD5bj0,,1,psychedelic | Psychedelic Rock | AOR | Garage Rock | USA | psytrance | bluegrass | christian,christian,medium,christian tag in lastfm tags,,
Mac Powell,5X77nNxT45eR0OshjmAvKa,rock,15,country | christian | United Christian Broadcasters | singer-songwriter | Southern Rock | americana | rock | All,christian,medium,christian tag plus sample genre,,
Mae,17Ht3puBDQIHTXvQTYYI3b,alternative,13,indie | alternative | emo | indie rock | rock | alternative rock | piano rock | christian,christian,medium,christian tag plus sample genre,,
Maire Brennan,6JIbdXrERgmH6Hn8mmjfUR,pop,10,celtic | new age | irish | folk | female vocalists | Maire Brennan | christian | chillout,christian,medium,christian tag plus sample genre,,
Manafest,4uOFEWy9mIcvQbr03IbPcL,rock,6,rapcore | Hip-Hop | christian | Christian Rap | rap | alternative | alternative rock | rap rock,christian,medium,christian tag plus sample genre,,
Marco Barrientos,4VYSLPSI9yb8qkUpKyVQSJ,rock,7,alabanza | Cristiano | adoracion | christian | Musica Cristiana | spanish | praise | cristiana,christian,medium,christian tag plus sample genre,,
Marizu,4rwolwLHj97rPwbhyNSeU9,rap,2,nigeria | christian,christian,medium,christian tag plus sample genre,,
Martyn Joseph,1zm4Wf8g8vXufWAKhYtZvb,,1,folk | acoustic | singer-songwriter | welsh | christian | live | pop rock | british,christian,medium,christian tag in lastfm tags,,
Mass Anthem,0KVR8D2dx5Td8ONhNZRLkM,,1,United States | christian,christian,medium,christian tag in lastfm tags,,
Matt Moore,2BK2I4WCQKbUFGDpddVFuf,rock,1,alt. rock | modern rock | christian,christian,medium,christian tag plus sample genre,,
Maylene And The Sons Of Disaster,5qSQDLG1CdotFh8eWhm7yT,metal,1,Southern Rock | metalcore | hardcore | southern hardcore | christian | Southern metal | rock | post-hardcore,christian,medium,christian tag plus sample genre,,
mewithoutYou,3D4qYDvoPn5cQxtBm4oseo,alternative,30,post-hardcore | indie | indie rock | rock | christian | experimental | emo | folk,christian,medium,christian tag plus sample genre,,
Micah Tyler,04XtgzagYQRpeZt1sJThKi,rock,11,country | american | america | christian,christian,medium,christian tag plus sample genre,,
Monk & Neagle,7daC9VgKeuynNhg7yzYyXR,,1,pop | acoustic | christian | singer-songwriter,christian,medium,christian tag in lastfm tags,,
MxPx,1cSpfa4Un4NCOzeOKgGtG9,punk,89,punk rock | pop punk | punk | rock | christian | american | alternative | skate punk,christian,medium,christian tag in lastfm tags,,
My Epic,0HowPCaKsP1sJL2T2eMEoe,rock,8,indie | experimental | rock | post-hardcore | alternative | christian | alternative rock | indie rock,christian,medium,christian tag plus sample genre,,
MyChildren MyBride,4Uc6biA3i00oRAWvIfjhlk,metal,1,metalcore | hardcore | christian | Christian Metalcore | deathcore | metal | american | melodic metalcore,christian,medium,christian tag plus sample genre,,
NF,6fOMl44jA4Sp5b9PpYCkzz,rap,47,Hip-Hop | rap | christian | hip hop | rnb | pop rap | trap | USA,christian,medium,christian tag plus sample genre,,
"Oh, Sleeper",3HMsQNXUa0je3yG5REHkQ7,metal,4,metalcore | post-hardcore | christian | hardcore | mathcore | Christian Metalcore | chaotic metalcore | chaotic hardcore,christian,medium,christian tag plus sample genre,,
Ole Børud,7saBzqUvDSqREDUUWkl0rO,rock,2,funk | soul | pop | norwegian | christian | Neo-Soul | westcoast | male vocalists,christian,medium,christian tag plus sample genre,,
Once Mekel,57rIw0vk3eEuJlVblR4CrE,jazz,4,pop | indonesian | a | christian,christian,medium,christian tag plus sample genre,,
Os Arrais,1Ja8qReIBoi7Z6ik0AQ6zS,country,1,christian | indie | folk | acoustic | soul | alternative | singer-songwriters | indie folk,christian,medium,christian tag plus sample genre,,
