artist_name,spotify_artist_id,sample_genre,christian_signal,suggested_bucket,manual_bucket,notes,song_count
Chico César,3vlUveVfzPXzhiPGjHHxOH,,,review,,,1
Orgone,4WmMnGO1nLIsE85XwcBAZE,,,review,,,1
Day Of Fire,6grXVRio9HAWuP3LKj4BPB,rock,,review,,,3
Diva Faune,39l75cUNbVMpHgykQLyOUT,,,review,,,4
Material Issue,3JqoJ9CMC1y6iLHz5zZLut,pop,,review,,,3
DeJ Loaf,7kFfY4UjNdNyaeUgLIEbIF,rap,,review,,,1
Lizzie Reid,0GytihetIdprntMyuyAJm6,,,review,,,2
Todd Dulaney,41OAtBkqAXVdMlteKlhrZz,,,review,,,11
The Belmonts,02oFrWT7l0AKMEnJI6iTIB,rock,,review,,,4
Faith No More,6GbCJZrI318Ybm8mY36Of5,metal,,review,,,5
IVE,6RHTUrRF63xao58xh9FXYJ,pop,,review,,,3
Nick Bonin,6kFCeHJQ1sK1fgBrqMK3G9,rap,,review,,,2
Michel Fugain,3Uitc0uNSbhVrqJON4NCMY,,,review,,,1
Built To Spill,3kbBWco9PZ5eSQsNScwG6U,pop rock,,review,,,17
Katelyn Tarver,6i8Tae6takoQos2JZ4vdRn,,,review,,,1
Low,0wz0jO9anccPzH04N7FLBH,pop,,review,,,35
Silk Route,759QiRQCMliwkrJqosHbmm,,,review,,,1
Prelow,7aSRqRjQAYTEm2fFohlZZn,pop,,review,,,1
Young Rival,6ear0DN4B8mHwITDtmHMe0,alternative,,review,,,1
Bankzitters,1g9nyCbUH0kbNgXAsw7tUB,,,review,,,2
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,pop,,review,,,9
Sethu,5N9yiZXsLClmcg1KHZuJf5,rap,,review,,,1
Josh Gracin,1456WwI15Lm9CktCzkLZvm,country,,review,,,9
Rammstein,6wWVKhxIU2cEi0K81v7HvP,metal,,review,,,34
Beaver Nelson,0EN016kbRGFWMcTB6BwpQi,,,review,,,1
Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,alternative,,review,,,41
Jerry Rivera,7wOZy3KdFVVINgNFFxkxwO,pop,,review,,,3
Herencia de Patrones,1Q6SZxTvaE3HhslV0iXbI6,,,review,,,2
Yuck,6l3BRLCpzfC8yxqf9thWAg,pop rock,,review,,,10
Blackmore's Night,5BnNG7QQQDTNd43ozx5y13,country,,review,,,33
Oskar Linnros,3E8Mx37sikkaFoX5DRecLi,pop,,review,,,3
Terry Stafford,4kmoIUly5v8RsaKDhevAjT,country,,review,,,1
Ariana DeBose,1Np9GsrPO7dlczjvdehBxs,,,review,,,2
Sienna Skies,4BwB9qh4daa8ecVPY9Qlo3,metal,,review,,,2
Sophisticated Dingo,7jEdUHdu1pVw9IDiGTooUL,punk,,review,,,1
We Were Sharks,5VJPxda81cx3ZGltjWM36I,punk,,review,,,1
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,alternative,,review,,,44
Silbermond,3GbUWWI1rMwAIPbUVPvnPA,pop rock,,review,,,4
Dan Reeder,4pzjm2iMtclScYmoJ7q9tD,,,review,,,15
