Track name,Artist name,Album,Playlist name,Type,ISRC
"Housefires - Never Run Dry","","","Worship","Playlist",""
"Housefires - Great Is the Lord","","","Worship","Playlist",""
"Housefires - One Thing","","","Worship","Playlist",""
"Housefires - Joy","","","Worship","Playlist",""
"Housefires - Come to the River","","","Worship","Playlist",""
"Housefires - Let the Peace","","","Worship","Playlist",""
"Jaye Thomas · The Cry - We Love Your Name (Live) (feat. the Cry)","","","Worship","Playlist",""
"Jesus Culture · Kim Walker-Smith - Rooftops (Live)","","","Worship","Playlist",""
"Jesus Culture · Kim Walker-Smith - You Are My Passion (Live)","","","Worship","Playlist",""
"Scott Blackwell - Hallelujah","","","Worship","Playlist",""
"Hillsong Young & Free · Alexander Pappas · Melodie Wagner - This Is Living (Acoustic)","","","Worship","Playlist",""
"LZ7 - Irreversible","","","Worship","Playlist",""
"Press Play - Top Of The World","","","Worship","Playlist",""
"Citipointe Worship - Making Your Praise Public (Live)","","","Worship","Playlist",""
"Citipointe Worship - Commission My Soul (Live)","","","Worship","Playlist",""
"Trevor Walker - Awaken","","","Worship","Playlist",""
"North Point Worship · Todd Fields · Candi Pearson Shelton - Almighty God (Live)","","","Worship","Playlist",""
"Nick Thurmond - Speechless","","","Worship","Playlist",""
"North Point Worship · Casey Darnell - When The Waters Rise (Live)","","","Worship","Playlist",""
